ts_code,symbol,name,area,industry,list_date
000713.SZ,713,国投丰乐,安徽,种植业,19970422
000715.SZ,715,中兴商业,辽宁,百货,19970508
000716.SZ,716,黑芝麻,广西,食品,19970418
000717.SZ,717,中南股份,广东,普钢,19970508
000718.SZ,718,苏宁环球,吉林,区域地产,19970408
000719.SZ,719,中原传媒,河南,出版业,19970331
000720.SZ,720,新能泰山,山东,电气设备,19970509
000721.SZ,721,西安饮食,陕西,酒店餐饮,19970430
000722.SZ,722,湖南发展,湖南,水力发电,19970522
000723.SZ,723,美锦能源,山西,焦炭加工,19970515
000725.SZ,725,京东方Ａ,北京,元器件,20010112
000726.SZ,726,鲁泰Ａ,山东,纺织,20001225
000727.SZ,727,冠捷科技,江苏,元器件,19970520
000728.SZ,728,国元证券,安徽,证券,19970616
000729.SZ,729,燕京啤酒,北京,啤酒,19970716
000731.SZ,731,四川美丰,四川,农药化肥,19970617
000733.SZ,733,振华科技,贵州,元器件,19970703
000735.SZ,735,罗牛山,海南,农业综合,19970611
000737.SZ,737,北方铜业,山西,铜,19970428
000738.SZ,738,航发控制,江苏,航空,19970626
000739.SZ,739,普洛药业,浙江,化学制药,19970509
000750.SZ,750,国海证券,广西,证券,19970709
000751.SZ,751,锌业股份,辽宁,铅锌,19970626
000753.SZ,753,漳州发展,福建,综合类,19970626
000755.SZ,755,山西高速,山西,路桥,19970627
000756.SZ,756,新华制药,山东,化学制药,19970806
000757.SZ,757,浩物股份,四川,汽车服务,19970627
000758.SZ,758,中色股份,北京,铅锌,19970416
000759.SZ,759,中百集团,湖北,超市连锁,19970519
000761.SZ,761,本钢板材,辽宁,普钢,19980115
000762.SZ,762,西藏矿业,西藏,小金属,19970708
000766.SZ,766,通化金马,吉林,化学制药,19970430
000767.SZ,767,晋控电力,山西,火力发电,19970609
000768.SZ,768,中航西飞,陕西,航空,19970626
000776.SZ,776,广发证券,广东,证券,19970611
000777.SZ,777,中核科技,江苏,机械基件,19970710
000778.SZ,778,新兴铸管,河北,钢加工,19970606
000779.SZ,779,甘咨询,甘肃,建筑工程,19970528
000782.SZ,782,恒申新材,广东,化纤,19970619
